timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
2019,Adobe,Software Engineer 3,Software Engineer,175000,"New York, NY",3,0,Android,139000,26000,7000,Male,NA,10182,501,11456,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 4,Software Engineer,290000,"San Jose, CA",3,3,Distributed Systems (Back-End),176000,105000,9000,NA,NA,7422,807,12956,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 3,Software Engineer,190000,"New York, NY",3,0,Web Development (Front-End),145000,35000,10000,Male,NA,10182,501,14225,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 2,Software Engineer,146000,"San Diego, CA",3,3,Full Stack,120000,20000,6000,NA,NA,7416,825,17137,0,0,0,0,0,0,0,0,0,0,NA,NA
2017,Adobe,Software Engineer 3,Software Engineer,165000,"San Jose, CA",4,1,NA,135000,25000,5000,NA,NA,7422,807,170,0,0,0,0,0,0,0,0,0,0,NA,NA
2018,Adobe,Computer Scientist I,Software Engineer,240000,"San Jose, CA",4,2,API Development (Back-End),140000,95000,5000,Male,NA,7422,807,3746,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 3,Software Engineer,224000,"Seattle, WA",4,0,API Development (Back-End),170000,43000,11000,Male,Masters,11527,819,18243,1,0,0,0,0,0,0,0,0,0,NA,Master's Degree
2019,Adobe,Software Engineer 3,Software Engineer,160000,"San Jose, CA",4,4,iOS,132000,21000,7000,Male,ESPP - Masters,7422,807,18464,1,0,0,0,0,0,0,0,0,0,NA,Master's Degree
2018,Adobe,Software Engineer 4,Product Manager,275000,"San Francisco, CA",5,1,Mobile (iOS + Android),170000,80000,25000,Male,NA,7419,807,947,0,0,0,0,0,0,0,0,0,0,NA,NA
2018,Adobe,Software Engineer 4,Software Engineer,261000,"New York, NY",5,5,Full Stack,148000,106000,7000,NA,NA,10182,501,3581,0,0,0,0,0,0,0,0,0,0,NA,NA
2018,Adobe,Senior,Software Engineer,205000,"San Jose, CA",5,0.5,Web Development (Front-End),155000,42000,8000,Female,NA,7422,807,3945,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,sde3,Software Engineer,172000,"New York, NY",5,3,Web Development (Front-End),130000,36000,6000,Male,NA,10182,501,5731,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Site Reliability Engineer,Software Engineer,148000,"Lehi, UT",5,0,DevOps,115000,25000,8000,Male,NA,15555,770,9537,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 3,Software Engineer,146000,"Austin, TX",5,1,DevOps,103000,36000,7000,Male,NA,10965,635,11026,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 3,Software Engineer,190000,"New York, NY",5,3,Web Development (Front-End),130000,50000,10000,Male,NA,10182,501,12211,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 4,Software Engineer,195000,"Emeryville, CA",5,3,DevOps,158000,25000,12000,Male,NA,15315,807,13682,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Sr,Product Designer,177000,"San Francisco, CA",5,4,Design,150000,20000,7000,Female,NA,7419,807,16505,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 4,Software Engineer,204000,"Denver, CO",5,2,DevOps,155000,38000,11000,Male,NA,7548,751,18354,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 3,Software Engineer,113000,"Austin, TX",5,2,Testing (SDET),103000,3000,7000,Male,NA,10965,635,18448,0,0,0,0,0,0,0,0,0,0,NA,NA
2020,Adobe,Software Engineer 4,Software Engineer,200000,"Emeryville, CA",5,5,API Development (Back-End),150000,40000,10000,NA,NA,15315,807,19902,0,0,0,0,0,0,0,0,0,0,NA,NA
2020,Adobe,Software Engineer 4,Software Engineer,270000,"San Jose, CA",5,1,ML / AI,155000,99000,16000,Male,NA,7422,807,21259,0,0,0,0,0,0,0,0,0,0,NA,NA
2020,Adobe,Software Engineer 3,Software Engineer,200000,"San Jose, CA",5,5,Full Stack,140000,50000,10000,Male,Masters,7422,807,21504,1,0,0,0,0,0,0,0,0,0,NA,Master's Degree
2018,Adobe,Software Engineer 4,Software Engineer,170000,"San Jose, CA",6,5,Full Stack,135000,25000,7000,Male,ESPP - 2years lock in price,7422,807,4376,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 3,Software Engineer,211000,"San Jose, CA",6,0,Distributed Systems (Back-End),165000,35000,11000,Male,NA,7422,807,13797,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 4,Software Engineer,170000,"Lehi, UT",6,1,Database,132000,30000,8000,Male,Title: Database Engineer,15555,770,13813,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 4,Software Engineer,85000,"Bucharest, BU, Romania",6,6,API Development (Back-End),40000,43000,2000,Male,NA,4701,0,14792,0,0,0,0,0,0,0,0,0,0,NA,NA
2020,Adobe,Software Engineer 5,Software Engineer,262000,"San Jose, CA",6,1,Web Development (Front-End),192000,50000,20000,Male,Masters,7422,807,19907,1,0,0,0,0,0,0,0,0,0,NA,Master's Degree
2020,Adobe,Software Engineer 3,Software Engineer,170000,"New York, NY",6,3,Web Development (Front-End),127000,35000,8000,Female,NA,10182,501,25177,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 4,Software Engineer,227000,"San Francisco, CA",7,1,DevOps,170000,45000,12000,Male,NA,7419,807,13894,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 4,Software Engineer,250000,"San Jose, CA",7,2.5,DevOps,170000,70000,10000,Male,NA,7422,807,16245,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 5.5,Software Engineer,455000,"Seattle, WA",7,7,ML / AI,193000,241000,21000,Male,PhD,11527,819,18560,0,0,1,0,0,0,0,0,0,0,NA,PhD
2020,Adobe,Software Engineer 4,Software Engineer,285000,"San Jose, CA",7,2,Distributed Systems (Back-End),190000,90000,5000,NA,NA,7422,807,23194,0,0,0,0,0,0,0,0,0,0,NA,NA
2018,Adobe,Software Engineer 4,Software Engineer,175000,"San Jose, CA",8,6,Full Stack,140000,30000,7000,NA,NA,7422,807,4793,0,0,0,0,0,0,0,0,0,0,NA,NA
2018,Adobe,Senior,Product Manager,200000,"Austin, TX",8,2,Full Stack,140000,40000,20000,Male,NA,10965,635,4796,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 3,Software Engineer,156000,"Lehi, UT",8,4,API Development (Back-End),120000,30000,6000,Male,NA,15555,770,5603,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 4,Software Engineer,163000,"Lehi, UT",8,6,Full Stack,115000,42000,6000,Male,NA,15555,770,12609,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,PM3,Product Manager,216000,"San Jose, CA",8,4,ML / AI,144000,50000,22000,NA,Masters,7422,807,19212,1,0,0,0,0,0,0,0,0,0,NA,Master's Degree
2020,Adobe,SDEP40,Software Engineer,190000,"Emeryville, CA",8,5,Distributed Systems (Back-End),165000,15000,10000,Male,Masters,15315,807,22004,1,0,0,0,0,0,0,0,0,0,NA,Master's Degree
2020,Adobe,PM3,Product Manager,259000,"San Francisco, CA",8,2,ML / AI,154000,80000,25000,NA,Masters,7419,807,22898,1,0,0,0,0,0,0,0,0,0,NA,Master's Degree
2019,Adobe,Software Engineer 4,Software Engineer,310000,"San Francisco, CA",9,1,DevOps,220000,70000,20000,Male,NA,7419,807,10796,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 5,Software Engineer,300000,"Seattle, WA",9,0,API Development (Back-End),210000,60000,30000,Male,NA,11527,819,16708,0,0,0,0,0,0,0,0,0,0,NA,NA
2020,Adobe,Software Engineer 5,Software Engineer,289000,"Basel, BS, Switzerland",9,8,Full Stack,181000,90000,18000,Male,Masters,13139,0,22685,1,0,0,0,0,0,0,0,0,0,NA,Master's Degree
2020,Adobe,SDEP40,Software Engineer,200000,"San Jose, CA",9,4,iOS,172000,12000,16000,Male,Masters,7422,807,24844,1,0,0,0,0,0,0,0,0,0,NA,Master's Degree
2018,Adobe,Software Engineer 4,Software Engineer,350000,"San Jose, CA",10,0,ML / AI,200000,130000,20000,NA,NA,7422,807,2183,0,0,0,0,0,0,0,0,0,0,NA,NA
2018,Adobe,Software Engineer 4,Software Engineer,350000,"San Jose, CA",10,0,ML / AI,200000,130000,20000,NA,NA,7422,807,2184,0,0,0,0,0,0,0,0,0,0,NA,NA
